Name,Description,Deadline,CompletionDate,AssignedUser,Status
task1,xyz,2026-03-01,2026-03-02,3,1
work,jfhvsads,2026-02-02,N/A,0,0
A,xyz,2026-03-01,N/A,1,0
B,abc,2026-04-01,N/A,3,0
task1,xyz,2026-94-01,N/A,1,0
hwef,qhjhfewhf,2027-02-02,N/A,9,0
hfbgshgb,shgisgg,2026-05-05,N/A,9,0
jzgdhjvfshb,nsdhgjh,2022-11-20,2023-10-20,3,1
task1,xyz,2026-05-02,2026-04-02,3,1
dss,edwdw,2026-04-01,2026-04-04,0,1
task1,jvcfwfwf,2026-03-04,N/A,1,0
task2,eduhfwr,2026-05-09,N/A,3,0
wrk,wrkkkkkkk,2026-02-02,2026-02-05,3,1
egr,draw a rectangle of 30*40m,2020-12-31,N/A,0,0
egr,draw pentagon of side 5mm,2029-12-21,N/A,6,0
task1,ssas,2026-03-02,2026-03-02,2,1
task1,fewf,2026-04-02,N/A,3,0
delivery,food deliver,2026-02-19,2026-04-02,4,1
egfeaj,fb,fhweugurwtw,2026-04-01,0,6
tudfjhf,jhfyfw,2026-04-02,2026-04-01,0,1
task1,few,2026-04-03,N/A,1,0
task1,dvvqfev,2026-03-01,2026-03-01,3,1
task2,rgfrfq,2026-04-01,N/A,2,0
task1,GQGFJKBEWOFBF,2026-03-01,N/A,2,0
adc,abc,2026-07-23,N/A,0,0
arranging files,make a folder of files that are currently in use ,2026-05-03,N/A,6,0
